gene_name	array_data_file_names	composite_element_ref	protein_name	qc_score	antibody_validation_status	antibody_origin	antibody_source_company	catalog_number	website
G6PD	G6PD-M-V_GBL1112928.txt	G6PD-M-V	G6PD	0.9178976	Validated	Mouse	Santa Cruz	sc-373887	http://www.scbt.com/datasheet-373887-g6pd-g-6-antibody.html
GAB2	Gab2-R-V_GBL1112846.txt	Gab2-R-V	GAB2	0.9676515	Validated	Rabbit	CST	3239	http://www.cellsignal.com/products/3239.html
GAPDH	GAPDH-M-C_GBL1112899.txt	GAPDH-M-C	GAPDH	0.8812168	Use with Caution	Mouse	Ambion	AM4300	http://products.invitrogen.com/ivgn/product/AM4300?ICID=search-am4300
GATA3	GATA3-M-V_GBL1112912.txt	GATA3-M-V	GATA3	0.9457562	Validated	Mouse	BD Biosciences	558686	http://www.bdbiosciences.com/ptProduct.jsp?prodId=656284&amp;key=558686&amp;param=search&amp;mterms=true&amp;from=dTable
GSK3A GSK3B	GSK3-alpha-beta-M-V_GBL1112900.txt	GSK3-alpha-beta-M-V	GSK3-alpha-beta	0.9671444	Validated	Mouse	Santa Cruz	SC-7291	http://www.scbt.com/datasheet-7291-gsk-3alpha-beta-0011-a-antibody.html
GSK3A GSK3B	GSK3-alpha-beta_pS21_S9-R-V_GBL1112770.txt	GSK3-alpha-beta_pS21_S9-R-V	GSK3-alpha-beta_pS21_S9	0.9672816	Validated	Rabbit	CST	9331	http://www.cellsignal.com/products/9331.html
GSK3A GSK3B	GSK3_pS9-R-V_GBL1112863.txt	GSK3_pS9-R-V	GSK3_pS9	0.9650927	Validated	Rabbit	CST	9336	http://www.cellsignal.com/products/9336.html
ERBB2	HER2-M-V_GBL1112922.txt	HER2-M-V	HER2	0.9387408	Validated	Mouse	Lab Vision	MS-325-P1	hermo.dirxion.com/immunohistochemistry/WebProject.asp?CodeId=7.6.3.2&amp;BookCode=ihc12flx#
ERBB2	HER2_pY1248-R-C_GBL1112860.txt	HER2_pY1248-R-C	HER2_pY1248	0.9415136	Use with Caution	Rabbit	Upstate (Millipore)	06-229	https://www.millipore.com/catalogue/item/06-229
ERBB3	HER3-R-V_GBL1112841.txt	HER3-R-V	HER3	0.9671706	Validated	Mouse	Lab Vision	MS-201-P1ABX	https://thermo.dirxion.com/immunohistochemistry/WebProject.asp?CodeId=7.6.3.2&amp;BookCode=ihc12flx#
ERBB3	HER3_pY1289-R-C_GBL1112812.txt	HER3_pY1289-R-C	HER3_pY1289	0.9685162	Use with Caution	Rabbit	CST	4791	http://www.cellsignal.com/products/4791.html
NRG1	Heregulin-R-V_GBL1112834.txt	Heregulin-R-V	Heregulin-	0.9524007	Validated	Rabbit	CST	2573	http://www.cellsignal.com/products/2573.html
HSPA1A	HSP70-R-C_GBL1112771.txt	HSP70-R-C	HSP70	0.9506251	Use with Caution	Rabbit	CST	4872	http://www.cellsignal.com/products/4872.html
IGFBP2	IGFBP2-R-V_GBL1112772.txt	IGFBP2-R-V	IGFBP2	0.9489723	Validated	Rabbit	CST	3922	http://www.cellsignal.com/products/3922.html
INPP4B	INPP4B-R-V_GBL1112859.txt	INPP4B-R-V	INPP4B	0.9627492	Validated	Rabbit	CST	4039	http://www.cellsignal.com/products/primary-antibodies/4039?hit=productId&amp;Ntt=4039
IRS1	IRS1-R-V_GBL1112822.txt	IRS1-R-V	IRS1	0.9729765	Validated	Rabbit	Upstate (Millipore)	06-248	https://www.millipore.com/catalogue/item/06-248
MAPK8	JNK_pT183_pY185-R-V_GBL1112832.txt	JNK_pT183_pY185-R-V	JNK_pY183_pY185	0.9634225	Validated	Rabbit	CST	4668	http://www.cellsignal.com/products/4668.html
MAPK9	JNK2-R-C_GBL1112773.txt	JNK2-R-C	JNK2	0.9636853	Use with Caution	Rabbit	CST	4672	http://www.cellsignal.com/products/4672.html
XRCC5	Ku80-R-C_GBL1112839.txt	Ku80-R-C	Ku80	0.9724524	Use with Caution	Rabbit	CST	2180	http://www.cellsignal.com/products/2180.html
LCK	Lck-R-V_GBL1112774.txt	Lck-R-V	Lck	0.9560996	Validated	Rabbit	CST	2752	http://www.cellsignal.com/products/2752.html
STK11	LKB1-M-E_GBL1112901.txt	LKB1-M-E	LKB1	0.9553428	Under Evaluation	Mouse	Abcam	ab15095	http://www.abcam.com/lkb1-antibody-ley-37dg6-ab15095.html
MAPK1 MAPK3	MAPK_pT202_Y204-R-V_GBL1112775.txt	MAPK_pT202_Y204-R-V	MAPK_pT202_Y204	0.9616316	Validated	Rabbit	CST	4377	http://www.cellsignal.com/products/4377.html
MAP2K1	MEK1-R-V_GBL1112776.txt	MEK1-R-V	MEK1	0.9732956	Validated	Rabbit	Epitomics	1235-1	http://www.epitomics.com/products/product_info/276/MEK1-antibody-1235-1.html
MAP2K1	MEK1_pS217_S221-R-V_GBL1112861.txt	MEK1_pS217_S221-R-V	MEK1_pS217_S221	0.9695061	Validated	Rabbit	CST	9154	http://www.cellsignal.com/products/9154.html
ERRFI1	MIG-6-M-V_GBL1112923.txt	MIG-6-M-V	MIG-6	0.9165826	Validated	Mouse	Sigma	WH0054206M1	http://www.sigmaaldrich.com/catalog/product/sigma/wh0054206m1?lang=en&amp;region=US
MRE11A	Mre11-R-C_GBL1112777.txt	Mre11-R-C	Mre11	0.9540095	Use with Caution	Rabbit	CST	4847	http://www.cellsignal.com/products/4847.html
MSH2	MSH2-M-V_GBL1112913.txt	MSH2-M-V	MSH2	0.9628318	Validated	Mouse	CST	2850	http://www.cellsignal.com/products/primary-antibodies/2850?hit=productId&amp;Ntt=2850
MSH6	MSH6-R-C_GBL1112857.txt	MSH6-R-C	MSH6	0.9684078	Use with Caution	Rabbit	Novus Biologicals	22030002	http://www.novusbio.com/productsearch/22030002
FRAP1	mTOR-R-V_GBL1112963.txt	mTOR-R-V	mTOR	0.9727582	Validated	Rabbit	CST	2983	http://www.cellsignal.com/products/2983.html
FRAP1	mTOR_pS2448-R-C_GBL1112779.txt	mTOR_pS2448-R-C	mTOR_pS2448	0.9734915	Use with Caution	Rabbit	CST	2971	http://www.cellsignal.com/products/2971.html
MYH11	MYH11-R-V_GBL1112973.txt	MYH11-R-V	MYH11	0.8198925	Validated	Rabbit	SDI / Novus	21370002	http://www.novusbio.com/Myosin-heavy-chain-11-Antibody_21370002.html
MYH9	Myosin-IIa_pS1943-R-V_GBL1112886.txt	Myosin-IIa_pS1943-R-V	Myosin IIa pS1943	0.9729699	Validated	Rabbit	CST	5026	http://www.cellsignal.com/products/5026.html
CDH2	N-Cadherin-R-V_GBL1112964.txt	N-Cadherin-R-V	N-Cadherin	0.941699	Validated	Rabbit	CST	4061	http://www.cellsignal.com/products/4061.html
NRAS	N-Ras-M-V_GBL1112969.txt	N-Ras-M-V	N-Ras	0.9388544	Validated	Mouse	Santa Cruz	sc-31	http://www.scbt.com/datasheet-31-n-ras-f155-antibody.html
NDRG1	NDRG1_pT346-R-V_GBL1112874.txt	NDRG1_pT346-R-V	NDRG1_pT346-	0.95915	Validated	Rabbit	CST	3217	http://www.cellsignal.com/products/3217.html
NFKB1	NF-kB-p65_pS536-R-C_GBL1112781.txt	NF-kB-p65_pS536-R-C	NF-kB-p65_pS536	0.9755407	Use with Caution	Rabbit	CST	3033	http://www.cellsignal.com/products/3033.html
NF2	NF2-R-C_GBL1112941.txt	NF2-R-C	NF2	0.9708134	Use with Caution	Rabbit	SDI / Novus	2271.00.02	http://www.novusbio.com/Merlin-Antibody_22710002.html
NOTCH1	Notch1-R-V_GBL1112858.txt	Notch1-R-V	Notch1	0.9718297	Validated	Rabbit	CST	3268	http://www.novusbio.com/Merlin-Antibody_22710002.html
CDH3	P-Cadherin-R-C_GBL1112789.txt	P-Cadherin-R-C	P-Cadherin	0.9517873	Under Evaluation	Rabbit	CST	2130	http://www.cellsignal.com/products/2130.html
CDKN1A	p21-R-V_GBL1112782.txt	p21-R-V	p21	0.9478703	Validated	Rabbit	Santa Cruz	SC-397	http://www.scbt.com/datasheet-397-p21-c-19-antibody.html
CDKN1B	p27-R-V_GBL1112836.txt	p27-R-V	p27	0.9579986	Validated	Rabbit	Epitomics	1591-1	http://www.epitomics.com/products/product_info/311/p27-Kip1-antibody-1591-1.html
