gene_name	array_data_file_names	composite_element_ref	protein_name	qc_score	antibody_validation_status	antibody_origin	antibody_source_company	catalog_number	website
TSC2	Tuberin-R-E_GBL1112805.txt	Tuberin-R-E	Tuberin	0.9694655	Validated	Rabbit	Epitomics	1613-1	http://www.epitomics.com/products/product_info/411/TSC2-Tuberin-antibody-1613-1.html
TSC2	Tuberin_pT1462-R-V_GBL1112806.txt	Tuberin_pT1462-R-V	Tuberin_pT1462	0.9642094	Validated	Rabbit	CST	3617	http://www.cellsignal.com/products/3617.html
KDR	VEGFR2-R-V_GBL1112807.txt	VEGFR2-R-V	VEGFR2	0.9659935	Validated	Rabbit	CST	2479	http://www.cellsignal.com/products/2479.html
VHL	VHL-M-C_GBL1112910.txt	VHL-M-C	VHL	0.9625926	Use with Caution	Mouse	BD Pharmingen	556347	http://www.bdbiosciences.com/ptProduct.jsp?prodId=12727&amp;key=556347&amp;param=search&amp;mterms=true&amp;from=dTable
XBP1	XBP1-G-C_GBL1112936.txt	XBP1-G-C	XBP1	0.9449381	Use with Caution	Goat	Santa Cruz	sc-32136	http://www.scbt.com/datasheet-32136-xbp-1-r-14-antibody.html
XRCC1	XRCC1-R-E_GBL1112840.txt	XRCC1-R-E	XRCC1	0.9527373	Under Evaluation	Rabbit	CST	2735	http://www.cellsignal.com/products/2735.html
YAP1	YAP-R-E_GBL1112819.txt	YAP-R-E	YAP	0.9694199	Under Evaluation	Rabbit	Santa Cruz	sc-15407	http://www.scbt.com/datasheet-15407-yap-h-125-antibody.html
YAP1	YAP_pS127-R-E_GBL1112820.txt	YAP_pS127-R-E	YAP_pS127	0.9719322	Under Evaluation	Rabbit	CST	4911	http://www.cellsignal.com/products/4911.html
YBX1	YB-1-R-V_GBL1112808.txt	YB-1-R-V	YB-1	0.9604605	Validated	Rabbit	SDI	1725.00.02	http://www.novusbio.com/YB1-Antibody_17250002.html
YBX1	YB-1_pS102-R-V_GBL1112826.txt	YB-1_pS102-R-V	YB-1_pS102	0.9748974	Validated	Rabbit	CST	2900	http://www.cellsignal.com/products/2900.html
